publish_date,headline_category,headline_text
20210912,sports.tennis.us-open,Britain's Emma Raducanu; 18; beats Canada's Leylah Fernandez; 19; to win US Open
20210913,sports.tennis.us-open,Tennis: De Groot claims first wheelchair golden slam with win at US Open
20210913,sports.tennis.us-open,Daniil Medvedev ends Novak Djokovic's bid for year Slam at US Open
20210917,sports.cricket.icc-mens-t20-world-cup,It's official: Virat Kohli to quit as India's T20 captain
20210919,sports.off-the-field,Tokyo Olympics silver medallist Ravi Kumar Dahiya: The country has showered so much love; I almost feel like a celebrity
20210920,sports.cricket.ipl,IPL 2021: Ruturaj Gaikwad and Dwayne Bravo got us more than what we expected; says CSK captain MS Dhoni
20210920,sports.football,Pele 'punching the air' and getting 'better every day'
20210920,sports.tennis,Italy's Jasmine Paolini claims maiden WTA title in Portoroz
20210920,sports.more-sports.athletics,You'll see a lot of success coming out of Odisha in the coming years; says athletics HPC head coach James Hillier
20210920,sports.cricket.ipl,IPL 2021: One of my top innings; says Ruturaj Gaikwad after Chennai Super Kings beat Mumbai Indians
20210920,sports.football,Mauricio Pochettino plays down decision to take off Lionel Messi in PSG win
20210920,sports.cricket.ipl,IPL 2021: Rohit Sharma will be fine to play against KKR; says MI coach Mahela Jayawardene
20210920,sports.football,Manchester City facing injury crisis as key battles loom large
20210920,sports.cricket.ipl,Will continue to play for RCB till my last game in the IPL: Virat Kohli
20210920,sports.football,Carlo Ancelotti salutes Real Madrid's fighting spirit after comeback win
20210920,sports.football.epl,Liverpool's Virgil van Dijk needs to be rotated; says James Milner
20210920,sports.football,Real Madrid stage late comeback to win at Valencia
20210920,sports.tennis,Diego Schwartzman bounces back to seal Argentina's place in Davis Cup qualifiers
20210920,sports.golf,South Korea's Ko Jin-Young wins weather-hit Portland Classic
20210920,sports.cricket.ipl,IPL 2021: Gaikwad shows the way as Chennai Super Kings script a familiar victory story
20210920,sports.football,Mauro Icardi grabs late winner for PSG against Lyon as Lionel Messi makes home bow
20210920,sports.cricket.ipl,IPL 2021: Playing against Mumbai Indians feels like a final; says CSK's Dwayne Bravo
20210920,sports.cricket.news,Milton Shumba fireworks lead Zimbabwe to T20I series victory over Scotland
20210920,sports.cricket.ipl,IPL 2021: RCB eye winning start against KKR
20210920,sports.football.epl,ole gunnar solskjaer happy with jesse lingards response in west ham united win
20210922,sports.cricket.ipl,Punjab Kings vs Rajasthan Royals Highlights: Kartik Tyagi scripts incredible two-run win for Royals against Punjab
20210925,sports.off-the-field,Paralympics gold medallist Pramod Bhagat: Have won a hundred medals but this one gold at Tokyo is equal to all of them
20211009,sports.hockey,Indian hockey scientific advisors' Robin Arkell; Wayne Lombard quit
20211015,sports.off-the-field,Kenyan police arrest husband of slain athlete Agnes Tirop
20211015,sports.tennis,Cameron Norrie crushes Diego Schwartzman; Grigor Dimitrov holds off Hubert Hurkacz in Indian Wells
